====Running MPQLAM experiment with seed 0 on instance with IP = ec2-13-57-184-46.us-west-1.compute.amazonaws.com ==== 
====Running MPQLAM experiment with seed 0 on instance with IP = ec2-13-57-184-46.us-west-1.compute.amazonaws.com ==== 
====Running MPQLAM experiment with seed 0 on instance with IP = ec2-13-57-184-46.us-west-1.compute.amazonaws.com ==== 
----------------------------------------
Test Episodes: 30, Avg. Reward: -1001.46 Avg. Success: 0.0 Std. Reward: 0.0
----------------------------------------
Episode: 148, total numsteps: 14900, episode steps: 100, reward: -644.29
Episode: 149, total numsteps: 15000, episode steps: 100, reward: -530.05
Episode: 150, total numsteps: 15100, episode steps: 100, reward: -604.12
Episode: 151, total numsteps: 15200, episode steps: 100, reward: -13.63
Episode: 152, total numsteps: 15300, episode steps: 100, reward: -614.27
Episode: 153, total numsteps: 15400, episode steps: 100, reward: -543.76
Episode: 154, total numsteps: 15500, episode steps: 100, reward: -626.62
Episode: 155, total numsteps: 15600, episode steps: 100, reward: -825.2
Episode: 156, total numsteps: 15700, episode steps: 100, reward: -951.22
Episode: 157, total numsteps: 15800, episode steps: 100, reward: -567.56
Episode: 158, total numsteps: 15900, episode steps: 100, reward: -905.3
Episode: 159, total numsteps: 16000, episode steps: 100, reward: -602.25
----------------------------------------
Test Episodes: 30, Avg. Reward: -734.47 Avg. Success: 3.33 Std. Reward: 0.0
----------------------------------------
Episode: 160, total numsteps: 16100, episode steps: 100, reward: -899.88
Episode: 161, total numsteps: 16200, episode steps: 100, reward: -524.56
Episode: 162, total numsteps: 16300, episode steps: 100, reward: -560.33
Episode: 163, total numsteps: 16400, episode steps: 100, reward: -625.77
Episode: 164, total numsteps: 16500, episode steps: 100, reward: -685.86
Episode: 165, total numsteps: 16600, episode steps: 100, reward: -264.89
Episode: 166, total numsteps: 16700, episode steps: 100, reward: -638.5
Episode: 167, total numsteps: 16800, episode steps: 100, reward: -588.02
Episode: 168, total numsteps: 16900, episode steps: 100, reward: -615.22
Episode: 169, total numsteps: 17000, episode steps: 100, reward: -1045.06
Episode: 170, total numsteps: 17100, episode steps: 100, reward: -628.77
Episode: 171, total numsteps: 17200, episode steps: 100, reward: -16.17
Episode: 172, total numsteps: 17300, episode steps: 100, reward: -520.7
Episode: 173, total numsteps: 17400, episode steps: 100, reward: -843.75
Episode: 174, total numsteps: 17500, episode steps: 100, reward: -813.49
Episode: 175, total numsteps: 17600, episode steps: 100, reward: -701.93
Episode: 176, total numsteps: 17700, episode steps: 100, reward: -193.64
Episode: 177, total numsteps: 17800, episode steps: 100, reward: -774.1
Episode: 178, total numsteps: 17900, episode steps: 100, reward: -639.14
Episode: 179, total numsteps: 18000, episode steps: 100, reward: -706.27
Episode: 180, total numsteps: 18100, episode steps: 100, reward: -609.85
Episode: 181, total numsteps: 18200, episode steps: 100, reward: -635.13
Episode: 182, total numsteps: 18300, episode steps: 100, reward: -612.01
Episode: 183, total numsteps: 18400, episode steps: 100, reward: -525.5
Episode: 184, total numsteps: 18500, episode steps: 100, reward: -652.71
Episode: 185, total numsteps: 18600, episode steps: 100, reward: -587.89
Episode: 186, total numsteps: 18700, episode steps: 100, reward: -506.89
Episode: 187, total numsteps: 18800, episode steps: 100, reward: -521.73
Episode: 188, total numsteps: 18900, episode steps: 100, reward: -561.92
Episode: 189, total numsteps: 19000, episode steps: 100, reward: -549.29
Episode: 190, total numsteps: 19100, episode steps: 100, reward: -604.22
Episode: 191, total numsteps: 19200, episode steps: 100, reward: -560.31
Episode: 192, total numsteps: 19300, episode steps: 100, reward: -537.33
Episode: 193, total numsteps: 19400, episode steps: 100, reward: -607.58
Episode: 194, total numsteps: 19500, episode steps: 100, reward: -615.21
Episode: 195, total numsteps: 19600, episode steps: 100, reward: -136.6
Episode: 196, total numsteps: 19700, episode steps: 100, reward: -617.94
Episode: 197, total numsteps: 19800, episode steps: 100, reward: -554.16
Episode: 198, total numsteps: 19900, episode steps: 100, reward: -574.82
Episode: 199, total numsteps: 20000, episode steps: 100, reward: -513.32
----------------------------------------
Test Episodes: 30, Avg. Reward: -504.01 Avg. Success: 3.33 Std. Reward: 0.0
----------------------------------------
Episode: 200, total numsteps: 20100, episode steps: 100, reward: -621.58
Episode: 201, total numsteps: 20200, episode steps: 100, reward: -622.53
Episode: 202, total numsteps: 20300, episode steps: 100, reward: -0.24
Episode: 203, total numsteps: 20400, episode steps: 100, reward: -558.06
Episode: 204, total numsteps: 20500, episode steps: 100, reward: -595.53
Episode: 205, total numsteps: 20600, episode steps: 100, reward: -505.18
Episode: 206, total numsteps: 20700, episode steps: 100, reward: -537.76
Episode: 207, total numsteps: 20800, episode steps: 100, reward: -609.79
Episode: 208, total numsteps: 20900, episode steps: 100, reward: -608.74
Episode: 209, total numsteps: 21000, episode steps: 100, reward: -607.68
Episode: 210, total numsteps: 21100, episode steps: 100, reward: -17.06
Episode: 211, total numsteps: 21200, episode steps: 100, reward: -499.53
